"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"JAPAN","Non-threaded screws,  bolts,  nuts,  coach-screws . . .  of  iron  or steel",751851,460,1634,0
"NETHERLAND","Non-threaded screws,  bolts,  nuts,  coach-screws . . .  of  iron  or steel",42671,15002,3,0
"UNITED KIN","Non-threaded screws,  bolts,  nuts,  coach-screws . . .  of  iron  or steel",1865516,2018,924,0
"UNITED STA","Non-threaded screws,  bolts,  nuts,  coach-screws . . .  of  iron  or steel",70174,18,3899,0
"AUSTRALIA","Nails and tacks,  drawing pins,  staples,  etc,  wholly or partly of coper",40169,8,5021,0
"UNITED KIN","Nails and tacks,  drawing pins,  staples,  etc,  wholly or partly of coper",534344,160,3340,0
"JAPAN","Washers (incl.  spring  washers) , etc,  of copper, not threaded",188113,16000,12,0
"UNITED KIN","Washers (incl.  spring  washers) , etc,  of copper, not threaded",5629705,1329,4236,0
"DENMARK","Screws,  bolts  and  nuts  and   similar articles   of  copper,  threaded",21143,70,302,0
"GERMANY, F","Screws,  bolts  and  nuts  and   similar articles   of  copper,  threaded",42000,30,1400,0
"UNITED KIN","Screws,  bolts  and  nuts  and   similar articles   of  copper,  threaded",1582775,165,9593,0
"BELGIUM","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",274657,12,22888,0
"FRANCE","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",980527,32,30641,0
"GERMANY, F","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",1288957,630,2046,0
"HONG KONG","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",20150528,54000,373,0
"INDIA","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",8921915,21237,420,0
"ITALY","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",27863511,12109,2301,0
"LEBANON","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",1241020,180,6745,0
"NIGERIA","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",790050,94,8405,0
"UNITED KIN","Nails,  tacks,  staples,  screws,  bolts,  nuts . . . of aluminium",66570526,10595,6283,0
"BELGIUM","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",2632391,2500,1053,0
"CHINA","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",339695682,177528,1913,0.02
"FRANCE","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",705007,256,2754,0
"GERMANY, F","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",843247,3600,234,0
"HONG KONG","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",65973360,136188,484,0
"KOREA REPU","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",1048640,8680,121,0
"LIBERIA","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",23853735,3000,7951,0
"NETHERLAND","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",2756694,4359,632,0
"SINGAPORE","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",13653618,22340,611,0
"UNITED KIN","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",35792692,12192,2936,0
"UNITED STA","Hand  tools  (eg.  spades,  shovels,  mottocks,  picks,  hoes,  forks,  etc)",10342682,24188,428,0
"AUSTRALIA","Hand saws",61992,10,6199,0
"CHINA","Hand saws",750048,894,839,0
"TAIWAN, PR","Hand saws",1857765,80,19847,0
"DENMARK","Hand saws",44124,2,22062,0
"GERMANY, F","Hand saws",974831,4101,238,0
"ITALY","Hand saws",439331,490,897,0
"SINGAPORE","Hand saws",1540964,940,1639,0
"UNITED KIN","Hand saws",4625062,464,9968,0
"UNITED STA","Hand saws",637661,61,10453,0
"FRANCE","Files,  rasps  and  similar  tools",115013,60,1917,0
"GERMANY, F","Files,  rasps  and  similar  tools",14750178,2080,7091,0
"JAPAN","Files,  rasps  and  similar  tools",152622,689,222,0
"NETHERLAND","Files,  rasps  and  similar  tools",11516670,950,12123,0
"SWEDEN","Files,  rasps  and  similar  tools",153919,22,6996,0
"USSR","Files,  rasps  and  similar  tools",14424,10,1442,0
"UNITED STA","Files,  rasps  and  similar  tools",338964,52,6519,0
"DENMARK","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",367418,200,1837,0
"FRANCE","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",1780875,190,9373,0
"GERMANY, F","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",4331417,179,24198,0
"HONG KONG","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",612419,290,2112,0
"INDIA","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",646075,210,3077,0
"ITALY","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",428704,8,53588,0
"JAPAN","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",246514795,2022,121916,0.01
"KOREA DEMO","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",1280662,1117,1147,0
"LIBERIA","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",39065,20,1953,0
"SWITZERLAN","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",40801029,520,78464,0
"UNITED STA","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",11062741,614,18017,0
"UNITED KIN","Pliers  (incl.  cutting  pliers),  pincers,  tweezers  and  similar  hand  tools",9248188,3151,2935,0
"AUSTRALIA","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",6650082,320,20782,0
"TAIWAN, PR","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",997059,890,1120,0
"DENMARK","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",1971598,554,3541,0
"FRANCE","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",1122805,100,11228,0
"GERMANY, F","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",88037589,9551,9218,0
"ITALY","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",3533880,485,7286,0
"JAPAN","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",31105200,300,103684,0
"UNITED KIN","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",2032712818,4841,419895,0.11
"UNITED STA","Hand-operated spanners and wrenches;   interchangeable  spanner  sockets",55066905,11092,4965,0
"CANADA","Drilling, threading and tapping tools",4728067,300,15760,0
"FRANCE","Drilling, threading and tapping tools",463463,100,4635,0
"GERMANY, F","Drilling, threading and tapping tools",5159327,3554,1452,0
"ITALY","Drilling, threading and tapping tools",3866648,460,8406,0
"UNITED KIN","Drilling, threading and tapping tools",6317526,213,16984,0
"UNITED STA","Drilling, threading and tapping tools",197028,18,10952,0
"CHINA","Hammers  and  sledge  hammers",244006,894,273,0
"FRANCE","Hammers  and  sledge  hammers",132296,20,6615,0
"GERMANY, F","Hammers  and  sledge  hammers",2942409,1142,2577,0
"ITALY","Hammers  and  sledge  hammers",45676,1,45676,0
"SINGAPORE","Hammers  and  sledge  hammers",626242,680,921,0
"SWEDEN","Hammers  and  sledge  hammers",551874,6,91979,0
"UNITED KIN","Hammers  and  sledge  hammers",31328584,5906,5305,0
"UNITED STA","Hammers  and  sledge  hammers",201936,52,3883,0
"CHINA","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",416493,896,465,0
"DENMARK","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",482986,49,9857,0
"GERMANY, F","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",10031464,210,47769,0
"HONG KONG","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",1035540,2700,384,0
"NETHERLAND","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",691920,105,6590,0
"UNITED KIN","Planes,  chisels,  gouges  and  similr  cutting  tools  for  working  wood",3321009,2072,1603,0
"ITALY","Screwdrivers",153847,16,6915,0
"JAPAN","Screwdrivers",770005,200,3850,0
"LIBERIA","Screwdrivers",108180,200,541,0
"UNITED KIN","Screwdrivers",45826,150,306,0
"UNITED STA","Screwdrivers",664325,83,8004,0
"CHINA","Household  tools,  nes",4607867,8000,576,0
"DENMARK","Household  tools,  nes",691408,20,34570,0
"FRANCE","Household  tools,  nes",161334,24,6722,0
"HONG KONG","Household  tools,  nes",2221897,3790,586,0
"INDIA","Household  tools,  nes",26190378,34800,753,0
"INDONESIA","Household  tools,  nes",164073,120,1367,0
"ITALY","Household  tools,  nes",10720066,2530,4237,0
"UNITED KIN","Household  tools,  nes",1655755,150,11038,0
"AUSTRALIA","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",67135,5,13427,0
"BELGIUM","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",760340,105,7241,0
"CANADA","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",18030,10,1803,0
"CHINA","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",34544756,19182,1801,0
"FRANCE","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",1190485,1600,744,0
"GERMANY,F","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",6283183,465,13512,0
"HONGKONG","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",984438,800,1231,0
"INDIA","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",13713618,18270,751,0
"ITALY","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",924233,70,13203,0
"KOREA REPU","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",25904190,2000,12952,0
"NETHERLAND","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",27752,8746,3,0
"SOUTRH AFRI","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",94792,68,1394,0
"SWEDEN","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",5815943,462,12589,0
"UNITED KIN","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",79988328,30951,2584,0
"UNITED STA","Other  hand  tools  (incl.  glaziers'  diamonds);  blow  lamps",12899901,24694,522,0
"DENMARK","Vices, clamps and the like",1763197,470,3751,0
"FRANCE","Vices, clamps and the like",1324130,20,66207,0
"GERMANY,F","Vices, clamps and the like",334945,192,1745,0
"HONGKONG","Vices, clamps and the like",395458,578,684,0
"INDIA","Vices, clamps and the like",305215,7,43602,0
"NETHERLAND","Vices, clamps and the like",513633,55,9339,0
"UNITED KIN","Vices, clamps and the like",11114008,404,27510,0
"UNITED STA","Vices, clamps and the like",141836,3,47279,0
"FRANCE","Anvils; portable forges; hand/pedal-operated grinding wheels with frames",501976,120,4183,0
"GERMANY,F","Anvils; portable forges; hand/pedal-operated grinding wheels with frames",1272310,240,5301,0
"UNITED KIN","Anvils; portable forges; hand/pedal-operated grinding wheels with frames",4817437,379,12711,0
"GERMANY,F","Sets of articles of two or more of the headings of 6954",3093778,283,10932,0
"SWITZERLAN","Sets of articles of two or more of the headings of 6954",1379676,100,13797,0
"UNITED KIN","Sets of articles of two or more of the headings of 6954",37017535,43366,854,0
"UNITED STA","Sets of articles of two or more of the headings of 6954",164674,25,6587,0
"FRANCE","Band saw blades",11622296,1980,5870,0
"GERMANY,F","Band saw blades",99676028,12194,8174,0.01
"NETHERLAND","Band saw blades",8253294,5670,1456,0
"SWEDEN","Band saw blades",19168263,6273,3056,0
"UNITED KIN","Band saw blades",12945074,6313,2051,0
"UNITED STA","Band saw blades",1121683,1550,730,0
"AUSTRIA","Circular saw blades (incl. Slitting/slotting blades) of steel",2426787,40,60670,0
"GERMANY,F","Circular saw blades (incl. Slitting/slotting blades) of steel",5566430,137,40631,0
"NETHERLAND","Circular saw blades (incl. Slitting/slotting blades) of steel",7808387,2000,3904,0
"SWEDEN","Circular saw blades (incl. Slitting/slotting blades) of steel",1154414,60,19240,0
"UNITED KIN","Circular saw blades (incl. Slitting/slotting blades) of steel",6118327,153,39989,0
"UNITED STA","Circular saw blades (incl. Slitting/slotting blades) of steel",1718259,8,214782,0
"GERMANY,F","Circular saw blades (incl. Slitting/slotting blades) of steel",3909606,138,28330,0
"SWEDEN","Circular saw blades (incl. Slitting/slotting blades) of steel",10137269,247,41042,0
"GERMANY,F","Chain saw blades",7042827,284,24799,0
"UNITED KIN","Chain saw blades",1676641,100,16766,0
"GERMANY,F","Straight saw blades, for working metal",1228444,30,40948,0
"AUSTRIA","other saw blades, nes",4485761,684,6558,0
"DEMARK","Other saw blades, nes",63499,2,31750,0
"GERMANY, F","Other saw blades, nes",23744654,1373,17294,0
"HONG KONG","Other saw blades, nes",21104115,30000,703,0
"ITALY","Other saw blades, nes",3606,67,54,0
"NETHERLAND","Other saw blades, nes",2815025,10666,264,0
"UNITED KIN","Other saw blades, nes",27778843,3706,7496,0
"UNITED STA","Other saw blades, nes",1395882,298,4684,0
"TAIWAN, PR","Knives and cutting blades, for machines or for mechanical appliances",2077056,68,30545,0
"DEMARK","Knives and cutting blades, for machines or for mechanical appliances",1488782,280,5317,0
"GERMANY, F","Knives and cutting blades, for machines or for mechanical appliances",75962861,7572,10032,0
"HONG KONG","Knives and cutting blades, for machines or for mechanical appliances",47214,34,1389,0
"ITALY","Knives and cutting blades, for machines or for mechanical appliances",324755,6,54126,0
"LEBANON","Knives and cutting blades, for machines or for mechanical appliances",162270,1000,162,0
"NETHERLAND","Knives and cutting blades, for machines or for mechanical appliances",909914,135,6740,0
"SWEDEN","Knives and cutting blades, for machines or for mechanical appliances",1469966,89,16516,0
"UNITED KIN","Knives and cutting blades, for machines or for mechanical appliances",7261632,555,13084,0
"NETHERLAND","Plates,  sticks,  tips,  et,  for tools,  unmounted,  of  cermets",419873,2000,210,0
"GERMANY, F","Rock  drilling  or earth  boring  tools",7999547,1183,6762,0
"ITALY","Rock  drilling  or earth  boring  tools",3573464,21,170165,0
"NETHERLAND","Rock  drilling  or earth  boring  tools",10225294,1006,10164,0
"SWEDEN","Rock  drilling  or earth  boring  tools",1519935,180,8444,0
"UNITED KIN","Rock  drilling  or earth  boring  tools",2980566,361,8256,0
"AUSTRALIA","Interchangeable  tools  for  hand  tools  or  machine-tools",5910438,915,6459,0
"BELGIUM","Interchangeable  tools  for  hand  tools  or  machine-tools",170584835,80000,2132,0.01
"CANADA","Interchangeable  tools  for  hand  tools  or  machine-tools",665954,20,33298,0
"CHINA","Interchangeable  tools  for  hand  tools  or  machine-tools",3133614,1200,2611,0
"DEMARK","Interchangeable  tools  for  hand  tools  or  machine-tools",2348708,102,23027,0
"FRANCE","Interchangeable  tools  for  hand  tools  or  machine-tools",22364647,941,23767,0
"GERMANY, F","Interchangeable  tools  for  hand  tools  or  machine-tools",36290296,2367,15332,0
"HONG KONG","Interchangeable  tools  for  hand  tools  or  machine-tools",3568857,17142,208,0
"INDIA","Interchangeable  tools  for  hand  tools  or  machine-tools",15025,7,2146,0
"IRELAND","Interchangeable  tools  for  hand  tools  or  machine-tools",640877,18,35604,0
"ITALY","Interchangeable  tools  for  hand  tools  or  machine-tools",12817339,5561,2305,0
"JAPAN","Interchangeable  tools  for  hand  tools  or  machine-tools",1101750,75,14690,0
"KOREA DEMO","Interchangeable  tools  for  hand  tools  or  machine-tools",73322,48,1528,0
"NETHERLAND","Interchangeable  tools  for  hand  tools  or  machine-tools",6944373,603,11528,0
"SINGAPORE","Interchangeable  tools  for  hand  tools  or  machine-tools",5657357,81,69844,0
"SOUTH AFRI","Interchangeable  tools  for  hand  tools  or  machine-tools",149649,31,4827,0.02
"SWEDEN","Interchangeable  tools  for  hand  tools  or  machine-tools",340637458,36066,9445,0
"SWITZERLAN","Interchangeable  tools  for  hand  tools  or  machine-tools",20343823,609,33405,0
"TOGO","Interchangeable  tools  for  hand  tools  or  machine-tools",1406761,1096,1284,0.01
"UNITED KIN","Interchangeable  tools  for  hand  tools  or  machine-tools",239335631,47574,5031,0
"UNITED STA","Interchangeable  tools  for  hand  tools  or  machine-tools",93620634,21360,4383,0
"CHINA","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",642469,594,719,0
"DEMARK","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",6499785,110,59089,0
"GERMANY, F","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",41014659,7410,5535,0
"ITALY","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",4630235,205,22587,0
"JAPAN","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",12145609,250,48582,0
"NETHERLAND","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",6007291,1165,5156,0
"UNITED KIN","Tools  of  two  or  more  6952  to  6955,  put  up  in  sets  for  retail  sale",36961750,3080,12001,0
"GERMANY, F","Rozors,  non-electric",198000,130,1523,0
"HONG KONG","Rozors,  non-electric",1047473,368,2846,0
"UNITED KIN","Rozors,  non-electric",722339,2233,323,0
"BELGIUM","Safety razor blades  (incl.  razor  blades  blanks  in strips)",4094520,1960,2089,0
"CHINA","Safety razor blades  (incl.  razor  blades  blanks  in strips)",393655,45,8748,0
"GERMANY, F","Safety razor blades  (incl.  razor  blades  blanks  in strips)",49002743,38000,1290,0
"HONG KONG","Safety razor blades  (incl.  razor  blades  blanks  in strips)",222510,42,5298,0
"UNITED KIN","Safety razor blades  (incl.  razor  blades  blanks  in strips)",8040214,9229,871,0
"UNITED STA","Safety razor blades  (incl.  razor  blades  blanks  in strips)",2241129,1690,1326,0
"HONG KONG","Parts,  nes,  of  non-electric razors,  other  than  plastic",295091,90,3279,0
"UNITED KIN","Parts,  nes,  of  non-electric razors,  other  than  plastic",42036,4,10509,0
"AUSTRALIA","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",30630,10,3063,0
"BELGIUM","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",37863,1,37863,0
"CHINA","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",1167743,500,2335,0
"TAIWAN, PR","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",3272445,1500,2182,0
"DENMARK","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",7212,99,73,0
"HONG KONG","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",10246444,13360,767,0
"ICELAND","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",14424,155,93,0
"SOUTH AFRI","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",3606,200,18,0
"UNITED KIN","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",155776,293,532,0
"UNITED STA","Scissors,  tailors'  shears  and  similar  shears,  and  blades  therefor",16828,100,168,0
"AUSTRALIA","Paper knives,  letter  openers,  erasing  knives,  pencil  sharpeners",27274,5,5455,0
"CHINA","Paper knives,  letter  openers,  erasing  knives,  pencil  sharpeners",715791,20,35790,0
"INDONESIA","Paper knives,  letter  openers,  erasing  knives,  pencil  sharpeners",182704,93,1965,0
"UNITED KIN","Paper knives,  letter  openers,  erasing  knives,  pencil  sharpeners",1202,10,120,0
"UNITED KIN","Manicure  or  pedicure  sets  and  instruments  (incl.  nail  files)",192685,140,1376,0
"GERMANY, F","Articles  of  cutlery,  nes",793660,700,1134,0
"ITALY","Articles  of  cutlery,  nes",15025,20,751,0
"NETHERLAND","Articles  of  cutlery,  nes",3745,16,234,0
"UNITED KIN","Articles  of  cutlery,  nes",3155365,248,12723,0
"BELGIUM","Sets  of  spoons,  forks,  etc  (one  or  more  plated  with  precious  metal)",4207,1,4207,0
"DENMARK","Sets  of  spoons,  forks,  etc  (one  or  more  plated  with  precious  metal)",158664,20,7933,0
"UNITED KIN","Sets  of  spoons,  forks,  etc  (one  or  more  plated  with  precious  metal)",13707,30,457,0
"BAHAMS","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",409224,200,2046,0
"CANADA","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",19833,8,2479,0
"CHINA","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",14066798,24460,575,0
"TAIWAN, PR","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",8406788,6456,1302,0
"FRANCE","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",3304298,1700,1944,0
"GERMANY, F","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",8549,12,712,0
"HONG KONG","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",10173820,1945,5231,0
"ITALY","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",113447,42,2701,0
"LEBANON","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",196880,11,17898,0
"SINGAPORE","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",659297,475,1388,0
"UNITED KIN","Sets of  assorted  spoons,  forks,  etc. . .  (excl. plated)",25968702,19749,1315,0
"HONG KONG","Articles  of cutlery,  not   in  sets,  plated  with  precious  metal",1106000,24000,46,0
"FRANCE","Other articles of cutlery,  nes,  not  in  sets",1252484,940,1332,0
"GERMANY, F","Other articles of cutlery,  nes,  not  in  sets",2984932,2240,1333,0
"ITALY","Other articles of cutlery,  nes,  not  in  sets",525274,110,4775,0
"KOREA REPU","Other articles of cutlery,  nes,  not  in  sets",31592520,11802,2677,0
"NETHERLAND","Other articles of cutlery,  nes,  not  in  sets",198646,1,198646,0
"UNITED KIN","Other articles of cutlery,  nes,  not  in  sets",4067593,1496,2719,0
"UNITED STA","Other articles of cutlery,  nes,  not  in  sets",266730,209,1276,0
"BELGIUM","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",828503,40,20713,0
"CHINA","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",8097310,5319,1522,0
"DENMARK","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",457826,23,19905,0
"GERMANY, F","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",54080,1,54080,0
"HONG KONG","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",5189252,4390,1182,0
"NETHERLAND","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",81873,25,3275,0
"SOUTH AFRI","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",227178,2200,103,0
"SWITZERLAN","Knives  with  cutting  blades,  (excl.  Knives  of  6956)  and  blades  therefore",184326,52,3545,0
"UNITED KIN","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",1201792,1869,643,0
"BELGIUM","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",3089741,1008,3065,0
"BRAZIL","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",76921991,39724,1936,0
"CHINA","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",143633556,120724,1190,0.01
"TAIWAN, PR","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",1273519,1500,849,0
"ETHIOPIA","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",180300,260,693,0
"FRANCE","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",48608880,2290,21227,0
"GERMANY, F","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",3812509,27598,138,0
"HONG KONG","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",48705690,58778,829,0
"INDIA","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",15032965,19294,779,0
"ITALY","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",88321758,23411,3773,0
"JAPAN","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",939850,168,5594,0
"LEBANON","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",2561118,590,4341,0
"LIBYAN ARA","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",39065,90,434,0
"LUXEMBOURG","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",914974,250,3660,0
"NETHERLAND","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",5453367,79865,68,0
"SPAIN","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",12706481,4109,3092,0
"SWITZERLAN","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",12627,20,631,0
"TURKEY","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",28996702,11960,2424,0
"USSR","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",39065,40,977,0
"UNITED KIN","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",5087054,39510,129,0
"UNITED STA","Domestic  cooking  appliances  of  iron  or  steel  (non-electric)",82337,638,129,0
"DENMARK","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",3112300,100,31123,0
"GERMANY, F","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",98244,140,702,0
"HONG KONG","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",144240,50,2885,0
"ITALY","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",15783615,1000,15784,0
"USSR","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",120200,600,200,0
"UNITED KIN","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",3578162,340,10524,0
"UNITED STA","Domestic  stoves,  nes,  (no-electric),  grates . . .  of  iron  or  steel",117527,50,2351,0
"BRAZIL","Parts,  of  iron  or  steel,  of  the   appliances  of  headings  69731  and 69732",644272,145,4443,0
"BENIN","Parts,  of  iron  or  steel,  of  the   appliances  of  headings  69731  and 69733",800532,6125,131,0
"NETHERLAND","Parts,  of  iron  or  steel,  of  the   appliances  of  headings  69731  and 69733",42671,15002,3,0
"SAUDI ARAB","Parts,  of  iron  or  steel,  of  the   appliances  of  headings  69731  and 69733",235350,400,588,0
"UNITED KIN","Parts,  of  iron  or  steel,  of  the   appliances  of  headings  69731  and 69733",537294,50,10746,0
"GERMANY, F","Domestic cooking or heating  apparatus  . . . , (non-electric),  of  copper",286080,1490,192,0
"AUSTRIA","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",34974156,31922,1096,0
"BELGIUM","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",23439,13,1803,0
"CANADA","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",114339,96,1191,0
"CHINA","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",56504162,66993,843,0
"TAIWAN, PR","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",8733891,12916,676,0
"CZECHOSLOV","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",35507872,36600,970,0
"FRANCE","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",5492978,11945,460,0
"GERMANY, F","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",57528687,61857,930,0
"HONG KONG","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",760592,703,1082,0
"INDIA","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",81340621,55086,1477,0
"INDONESIA","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",206912833,242820,852,0.01
"ITALY","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",2204468,1580,1395,0
"COTE D' IVO","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",2420227,5895,411,0
"JAPAN","Household  articles  and  parts  thereof,  nes,  of  iron  or  steel",1397693,49583,28,0
